"","tms","bs"
"955","10",5
"956","10",5
"957","10",5
"958","10",5
"959","10",5
"960","10",5
"961","10",5
"962","10",5
"963","10",5
"964","10",5
"965","10",5
"966","10",5
"967","10",1
"968","10",5
"969","10",5
"970","10",5
"971","10",1
"972","10",2
"973","10",5
"974","10",5
"975","10",5
"976","10",2
"977","10",5
"978","10",1
"979","10",5
"980","10",1
"981","10",1
"982","10",5
"983","10",5
"984","10",5
"985","10",1
"986","10",5
"987","10",5
"988","10",1
"989","10",1
"990","10",1
"991","10",1
"992","10",5
"993","10",1
"994","10",5
"995","10",5
"996","10",5
"997","10",5
"998","10",5
"999","10",5
"1000","10",5
"1001","10",5
"1002","10",5
"1003","10",5
"1004","10",5
"1005","10",5
"1006","10",5
"1007","10",5
"1008","10",5
"1009","10",5
"1010","10",5
"1011","10",5
"1012","10",5
"1013","10",5
"1014","10",5
"1015","10",5
"1016","10",5
"1017","10",5
"1018","10",5
"1019","10",5
"1020","10",5
"1021","10",5
"1022","10",5
"1023","10",5
"1024","10",3
"1025","10",5
"1026","10",5
"1027","10",5
"1028","10",5
"1029","10",5
"1030","10",5
"1031","10",5
"1032","10",5
"1033","10",5
"1034","10",5
"1035","10",3
"1036","10",1
"1037","10",3
"1038","10",3
"1039","11",1
"1040","11",5
"1041","11",5
"1042","11",5
"1043","11",1
"1044","11",5
"1045","11",1
"1046","11",5
"1047","11",1
"1048","11",1
"1049","11",1
"1050","11",1
"1051","11",1
"1052","11",1
"1053","11",1
"1054","11",5
"1055","11",5
"1056","11",5
"1057","11",5
"1058","11",1
"1059","11",5
"1060","11",5
"1061","11",5
"1062","11",5
"1063","11",5
"1064","11",5
"1065","11",5
"1066","11",5
"1067","11",5
"1068","11",5
"1069","11",5
"1070","11",5
"1071","11",5
"1072","11",5
"1073","11",5
"1074","11",5
"1075","11",5
"1076","11",5
"1077","11",5
"1078","11",5
"1079","11",5
"1080","11",5
"1081","11",5
"1082","11",5
"1083","11",5
"1084","11",5
"1085","11",5
"1086","11",1
"1087","11",5
"1088","11",5
"1089","11",5
"1090","11",5
"1091","11",1
"1092","11",3
"1093","11",3
"1094","11",3
"1095","11",3
"1096","11",1
"1097","11",1
"1098","11",5
"1099","11",1
"1100","11",5
"1101","11",5
"1102","11",5
"1103","11",5
"1104","11",1
"1105","11",5
"1106","11",1
"1107","11",1
"1108","11",5
"1109","11",5
"1110","11",5
"1111","11",3
"1112","11",5
"1113","11",5
"1114","11",5
"1115","11",5
"1116","11",5
"1117","11",3
"1118","11",3
"1119","11",3
"1120","11",3
"1121","11",1
"1122","11",3
"1123","11",3
"1124","11",3
"1125","11",3
"1126","11",1
"1127","11",2
"1128","11",3
"1129","11",2
"1130","11",1
"1131","11",3
"1132","11",2
"1133","11",5
"1134","11",5
"1135","11",5
"1136","11",5
"1137","11",1
"1138","11",2
"1139","11",1
"1140","11",5
"1141","11",1
"1142","11",3
"1143","11",3
"1144","11",1
"1145","11",2
"1146","11",5
"1147","11",5
"1148","11",5
"1149","11",5
"1150","11",5
"1151","11",3
"1152","11",1
"1153","11",1
"1154","11",1
"1155","11",1
"1156","11",1
"1157","11",1
"1158","11",1
"1159","11",5
"1160","11",5
"1161","11",1
"1162","11",1
"1163","11",5
"1164","11",5
"1165","11",5
"1166","11",5
"1167","11",5
"1168","11",5
"1169","11",5
"1170","11",5
"1171","11",5
"1172","11",5
"1173","11",5
"1174","11",5
"1175","11",5
"1176","11",5
"1177","11",5
"1178","11",5
"1179","11",5
"1180","11",5
"1181","11",5
"1182","11",5
"1183","11",5
"1184","11",5
"1185","11",5
"1186","11",5
"1187","11",5
"1188","11",5
"1189","11",5
"1190","11",5
"1191","11",5
"1192","11",5
"1193","11",5
"1194","11",5
"1195","11",5
"1196","11",5
"1197","11",5
"1198","11",5
"1199","11",5
"1200","11",5
"1201","11",5
"1202","11",5
"1203","11",5
"1204","11",5
"1205","11",5
"1206","11",5
"1207","11",5
"1208","11",5
"1209","11",5
"1210","11",5
"1211","11",5
"1212","11",5
"1213","11",1
"1214","11",5
"1215","11",5
"1216","11",5
"1217","11",5
"1218","11",5
"1219","11",5
"1220","11",5
"1221","11",5
"1222","11",5
"1223","11",5
"1224","11",5
"1225","11",5
"1226","11",5
"1227","11",5
"1228","11",5
"1229","11",5
"1230","11",5
"1231","11",5
"1232","11",5
"1233","11",5
"1234","11",5
"1235","11",5
"1236","11",5
"1237","11",5
"1238","11",5
"1239","11",5
"1240","11",5
"1241","11",1
"1242","11",2
"1243","11",3
"1244","11",2
"1245","11",3
"1246","11",2
"1247","11",1
"1248","11",5
"1249","11",1
"1250","11",1
"1251","11",1
"1252","11",3
"1253","11",5
"1254","11",5
"1255","11",5
"1256","11",5
"1257","11",5
"1258","11",5
"1259","11",5
"1260","11",5
"1261","11",5
"1262","11",5
"1263","11",5
"1264","11",5
"1265","11",5
"1266","11",5
"1267","11",5
"1268","11",5
"1269","11",5
"1270","11",5
"1271","11",5
"1272","11",5
"1273","11",5
"1274","11",5
"1275","11",5
"1276","11",5
"1277","11",5
"1278","11",5
"1279","11",5
"1280","11",5
"1281","11",5
"1282","11",5
"1283","11",5
"1284","11",5
"1285","11",5
"1286","11",5
"1287","11",5
"1288","11",5
"1289","11",5
"1290","11",5
"1291","11",5
"1292","11",5
"1293","11",5
"1294","11",5
"1295","11",5
"1296","11",5
"1297","11",5
"1298","11",5
"1299","11",5
"1300","11",5
"1301","11",5
"1302","11",1
"1303","11",5
"1304","11",5
"1305","11",5
"1306","11",5
"1307","11",5
"1308","11",5
"1309","11",5
"1310","11",5
"1311","11",5
"1312","11",5
"1313","11",5
"1314","11",5
"1315","11",5
"1316","11",5
"1317","11",5
"1318","11",5
"1319","11",5
"1320","11",5
"1321","11",5
"1322","11",5
"1323","11",5
"1324","11",5
"1325","11",5
"1326","11",5
"1327","11",5
"1328","11",5
"1329","11",5
"1330","11",5
"1331","11",5
"1332","11",5
"1333","11",5
"1334","11",5
"1335","11",5
"1336","11",5
"1337","11",5
"1338","11",5
"1339","11",5
"1340","11",5
"1341","11",5
"1342","11",5
"1343","11",5
"1344","11",5
"1345","11",5
"1346","11",5
"1347","11",5
"1348","11",5
"1349","11",5
"1350","11",5
